date,open,high,low,close,volume,dividends,stock_splits,Mkt-RF,SMB,HML,RMW,CMA,RF,ads_index,SP500,BAMLH0A0HYM2,BAMLH0A0HYM2EY,CBBTCUSD,CBETHUSD,DAAA,DBAA,DCOILBRENTEU,DCOILWTICO,DEXJPUS,DEXUSEU,DEXUSUK,DHHNGSP,T10Y3M,T10YIE,USRECD,USRECDM,USRECDP,VIXCLS,close_lag1,close_lag3,close_lag5,open_lag1,open_lag3,open_lag5,high_lag1,high_lag3,high_lag5,low_lag1,low_lag3,low_lag5,close_ma5,close_ma10,close_vol5,close_vol10,close_SP500_product,close_SP500_ratio,close_VIXCLS_product,close_VIXCLS_ratio,SP500_VIXCLS_product,SP500_VIXCLS_ratio,RSI,MACD,MACD_signal,MA20,BB_upper,BB_lower
2015-02-11,26.919841729494554,27.0305676146106,26.73380184622685,26.833555221557617,38306000.0,0.0,0.0,0.03,-0.16,-0.34,0.08,-0.07,0.0,-0.606333,2068.53,4.76,6.3,219.81,13.18,3.63,3.99,59.19,48.8,120.38,1.13,1.5232,2.86,1.99,1.68,0.0,0.0,0.0,16.96,26.941287994384766,26.62806510925293,26.240026473999023,26.541777908615025,26.48492018344799,26.59115631217857,26.983184069138904,26.944281544739813,26.771210504324195,26.39314578038076,26.367211617224175,26.186657493614756,26.64552116394043,26.502027130126955,0.24096399422882483,0.3840797842873684,55506.01398244858,0.012972282293142855,455.0970965576172,1.58216623820137,35082.268800000005,121.96514035074273,50.35438426520562,0.23250646240487782,0.16591529998864712,26.229701232910156,27.43993773477928,25.01946473104103
2015-02-12,26.916349742478502,27.34927774473266,26.783678840983022,27.23306655883789,48590000.0,0.0,0.0,1.0,0.17,-0.06,-0.15,-0.29,0.0,-0.609995,2088.48,4.74,6.28,223.21,13.18,3.64,3.99,59.19,51.17,118.72,1.141,1.538,2.86,1.97,1.66,0.0,0.0,0.0,15.34,26.833555221557617,26.398632049560547,26.42606544494629,26.919841729494554,26.487411008448664,26.331298882287577,27.0305676146106,26.62806347058629,26.468958502057156,26.73380184622685,26.31234554553074,26.217081657685803,26.80692138671875,26.665522193908693,0.3158532906906141,0.2939600010311076,56875.714846801755,0.013039658712767802,417.75524101257326,1.7752965323254608,32037.2832,136.14593471581833,51.99424784659586,0.2757275071512524,0.1878777414211682,26.33444185256958,27.50902058405519,25.15986312108397
2015-02-13,27.307881052331375,27.558760917108877,27.26249363718135,27.489931106567383,47382000.0,0.0,0.0,0.47,0.14,-0.32,-0.3,-0.24,0.0,-0.613941,2096.99,4.71,6.27,236.49,13.18,3.67,3.99,59.19,52.66,118.7,1.1408,1.5394,2.75,2.01,1.68,0.0,0.0,0.0,14.69,27.23306655883789,26.941287994384766,26.62806510925293,26.916349742478502,26.541777908615025,26.48492018344799,27.34927774473266,26.983184069138904,26.944281544739813,26.783678840983022,26.39314578038076,26.367211617224175,26.97929458618164,26.7334041595459,0.4138246352362822,0.3930064391603053,57646.11063116073,0.01310923322260719,403.82708795547484,1.871335084630125,30804.783099999997,142.74939227406924,57.10192508926416,0.32693857442496466,0.2156899080219275,26.435940551757813,27.642733547389152,25.229147556126474
2015-02-16,27.489930686207643,27.581702497101382,27.095905902751404,27.183189392089844,39174000.0,0.0,0.0,0.17,-0.02,-0.06,-0.18,-0.15,0.0,-0.62603,2100.34,4.69,6.24,234.68,13.18,3.78,3.99,59.19,53.56,118.99,1.1395,1.5349,2.75,2.12,1.71,0.0,0.0,0.0,15.8,27.489931106567383,26.833555221557617,26.398632049560547,27.307881052331375,26.919841729494554,26.487411008448664,27.558760917108877,27.0305676146106,26.62806347058629,27.26249363718135,26.73380184622685,26.31234554553074,27.1362060546875,26.797295761108398,0.25802198579362473,0.4103929669362594,57093.94000778199,0.01294228042253494,429.49439239501953,1.7204539359209168,33185.372,132.93282725770428,62.9072612644096,0.33886598524320277,0.24032512346618257,26.52339897155762,27.676812018258673,25.369985924856564
2015-02-17,27.489930686207643,27.581702497101382,27.095905902751404,27.183189392089844,39174000.0,0.0,0.0,0.17,-0.02,-0.06,-0.18,-0.15,0.0,-0.628177,2100.34,4.57,6.22,244.82,13.18,3.78,3.99,59.19,53.56,118.99,1.1395,1.5349,2.75,2.12,1.71,0.0,0.0,0.0,15.8,27.183189392089844,27.23306655883789,26.941287994384766,27.489930686207643,26.916349742478502,26.541777908615025,27.581702497101382,27.34927774473266,26.983184069138904,27.095905902751404,26.783678840983022,26.39314578038076,27.184586334228516,26.855700874328612,0.23388699575355312,0.4204940761157657,57093.94000778199,0.01294228042253494,429.49439239501953,1.7204539359209168,33185.372,132.93282725770428,69.50662088923622,0.34434910214930525,0.2611299192028071,26.61085739135742,27.678547213173786,25.543167569541055
2015-02-18,27.123836977451926,27.30987686192481,26.910865260654298,27.065481185913086,31164000.0,0.0,0.0,0.03,0.26,-0.81,0.29,-0.18,0.0,-0.629138,2099.68,4.62,6.19,237.49,13.18,3.73,3.99,59.19,52.13,119.19,1.1342,1.543,2.92,2.05,1.71,0.0,0.0,0.0,15.45,27.183189392089844,27.489931106567383,26.833555221557617,27.489930686207643,27.307881052331375,26.919841729494554,27.581702497101382,27.558760917108877,27.0305676146106,27.095905902751404,27.26249363718135,26.73380184622685,27.23097152709961,26.93824634552002,0.15733544644669117,0.36334138770907864,56828.849536437985,0.012890288547307303,418.16168432235713,1.7518099461368044,32440.055999999997,135.9015301608219,67.29143267618355,0.33533095675793945,0.2759701267138336,26.666369915008545,27.705602530331298,25.627137299685792
2015-02-19,27.05650464414103,27.27546205900405,26.970716626320893,27.25501251220703,30834000.0,0.0,0.0,-0.01,0.21,-0.37,-0.05,-0.37,0.0,-0.628913,2097.45,4.58,6.19,240.9,13.18,3.77,3.99,59.19,51.12,118.84,1.1392,1.5451,2.92,2.09,1.74,0.0,0.0,0.0,15.29,27.065481185913086,27.183189392089844,27.23306655883789,27.123836977451926,27.489930686207643,26.916349742478502,27.30987686192481,27.581702497101382,27.34927774473266,26.910865260654298,27.095905902751404,26.783678840983022,27.23536071777344,27.021141052246094,0.15771416048298678,0.3261643896384976,57166.02599372863,0.01299435618597033,416.7291413116455,1.7825372587857715,32070.010499999997,137.17780433106321,56.892471454873274,0.3395633309077226,0.2886887675526114,26.689188385009764,27.760204753615053,25.618172016404475
2015-02-20,27.311372262524593,27.311372262524593,26.838544039497616,27.023086547851562,38234000.0,0.0,0.0,0.61,-0.44,-0.27,-0.07,-0.1,0.0,-0.627502,2110.3,4.53,6.17,245.34,13.18,3.78,3.99,59.19,49.95,118.68,1.1372,1.5385,3.02,2.11,1.75,0.0,0.0,0.0,14.3,27.25501251220703,27.183189392089844,27.489931106567383,27.05650464414103,27.489930686207643,27.307881052331375,27.27546205900405,27.581702497101382,27.558760917108877,26.970716626320893,27.095905902751404,27.26249363718135,27.141991806030273,27.060643196105957,0.09507956882556363,0.2957738956087568,57026.81954193116,0.012805329299056183,386.43013763427734,1.8897250105315704,30177.290000000005,147.57332337529834,57.516238381844445,0.32050840944221193,0.2950526959305315,26.68881435394287,27.759333854443597,25.618294853442144
2015-02-23,26.883434297334976,26.898396638511173,26.53429841633631,26.683927536010742,32906000.0,0.0,0.0,-0.08,0.04,-0.37,0.38,-0.22,0.0,-0.616482,2109.66,4.56,6.13,239.49,13.18,3.7,3.99,59.19,49.56,118.88,1.1346,1.5465,3.22,2.04,1.72,0.0,0.0,0.0,14.56,27.023086547851562,27.065481185913086,27.183189392089844,27.311372262524593,27.123836977451926,27.489930686207643,27.311372262524593,27.30987686192481,27.581702497101382,26.838544039497616,26.910865260654298,27.095905902751404,27.04213943481445,27.089172744750975,0.2204731569922403,0.2316262206573194,56294.01456562042,0.01264844923330122,388.5179849243164,1.832686072057007,30716.6496,144.89413125403073,51.22023858702434,0.27487140268344845,0.2910164372811149,26.68452501296997,27.754366920262477,25.614683105677464
2015-02-24,26.511851753807285,26.903382184797664,26.484419527850722,26.865976333618164,28406000.0,0.0,0.0,0.32,0.0,0.72,-0.23,0.35,0.0,-0.61099,2115.48,4.58,6.08,239.87,13.18,3.65,3.99,59.19,48.48,119.13,1.1307,1.5434,3.22,1.97,1.72,0.0,0.0,0.0,13.69,26.683927536010742,27.25501251220703,27.183189392089844,26.883434297334976,27.05650464414103,27.489930686207643,26.898396638511173,27.27546205900405,27.581702497101382,26.53429841633631,26.970716626320893,27.095905902751404,26.978696823120117,27.081641578674315,0.21531788981597236,0.23810266431634686,56834.43561424255,0.01269970701997707,367.7952160072326,1.9624511840106884,28960.9212,154.52727938109615,59.50647896484612,0.25050588662536555,0.28291432714996506,26.728067302703856,27.749563555873028,25.706571049534684
2015-02-25,26.855502383528247,27.410627287047276,26.834053952123046,27.298904418945312,40836000.0,0.0,0.0,0.02,0.2,-0.49,-0.57,-0.2,0.0,-0.604642,2113.86,4.54,6.04,238.19,13.18,3.61,3.99,59.19,50.25,118.88,1.1363,1.5499,3.21,1.94,1.72,0.0,0.0,0.0,13.84,26.865976333618164,27.023086547851562,27.065481185913086,26.511851753807285,27.311372262524593,27.123836977451926,26.903382184797664,27.311372262524593,27.30987686192481,26.484419527850722,26.838544039497616,26.910865260654298,27.02538146972656,27.128176498413087,0.259591637169873,0.22954961274807983,57706.06209503174,0.012914244221378364,377.8168371582031,1.9724627669304655,29255.8224,152.735438774972,62.33189859863964,0.2630969006615054,0.27895084185227315,26.81510181427002,27.705070223611752,25.925133404928285
2015-02-26,27.21960136704244,27.93732378059245,27.18718042482787,27.895427703857422,54032000.0,0.0,0.0,-0.08,0.54,-0.49,-0.14,-0.32,0.0,-0.597434,2110.74,4.43,5.98,237.11,13.18,3.64,3.99,59.19,47.65,119.36,1.1212,1.5424,3.21,2.0,1.79,0.0,0.0,0.0,13.91,27.298904418945312,26.683927536010742,27.25501251220703,26.855502383528247,26.883434297334976,27.05650464414103,27.410627287047276,26.898396638511173,27.27546205900405,26.834053952123046,26.53429841633631,26.970716626320893,27.15346450805664,27.194412612915038,0.47216919178125183,0.33467023259253215,58879.995071640005,0.013215946810927899,388.02539936065676,2.0054211106862914,29360.393399999997,151.74252211177418,66.11052008155127,0.31754930303994655,0.28667053408980786,26.929967403411865,27.748743794413272,26.11119101241046
